№;Дата вылета;Номер рейса;Аэропорт вылета;Аэропорт прилета;Время вылета;Время прилета;Емкость кабины;LF Кабина;Бронирования по кабинам;Тип ВС;Код кабины;Доход пасс;Пассажиры
1-C;2025-04-18;224;SVO;SYX;10:35;01:15;28;0,6786;19;359;C;10048,02;19
1-W;2025-04-18;224;SVO;SYX;10:35;01:15;24;0,25;6;359;W;2013,02;6
1-Y;2025-04-18;224;SVO;SYX;10:35;01:15;264;0,4129;109;359;Y;29917,88;109
2-C;2025-04-18;225;SYX;SVO;04:50;10:10;28;0,5357;15;359;C;6306,29;15
2-W;2025-04-18;225;SYX;SVO;04:50;10:10;24;0,2917;7;359;W;3834,73;7
2-Y;2025-04-18;225;SYX;SVO;04:50;10:10;264;0,5303;140;359;Y;41631,21;142
3-C;2025-04-18;233;DEL;SVO;05:00;09:00;30;0,3667;11;77W;C;7192,03;11
3-W;2025-04-18;233;DEL;SVO;05:00;09:00;48;0,25;12;77W;W;3007,9;12
3-Y;2025-04-18;233;DEL;SVO;05:00;09:00;324;1,0093;327;77W;Y;56055,72;332
4-C;2025-04-18;321;MLE;SVO;11:05;17:50;30;0,6667;20;77W;C;21404,44;20
4-W;2025-04-18;321;MLE;SVO;11:05;17:50;48;0,5208;25;77W;W;12543,34;25
4-Y;2025-04-18;321;MLE;SVO;11:05;17:50;324;0,7562;245;77W;Y;56285,26;245
5-C;2025-04-18;427;SSH;SVO;15:30;22:15;30;0,5;15;77W;C;4154,18;15
5-W;2025-04-18;427;SSH;SVO;15:30;22:15;48;0,0833;4;77W;W;846,05;4
5-Y;2025-04-18;427;SSH;SVO;15:30;22:15;324;0,2253;73;77W;Y;14265,59;74
6-C;2025-04-18;521;DXB;SVO;16:05;20:50;30;0,9333;28;77W;C;21654,51;28
6-W;2025-04-18;521;DXB;SVO;16:05;20:50;48;1,0;48;77W;W;19294,41;48
6-Y;2025-04-18;521;DXB;SVO;16:05;20:50;324;0,6759;219;77W;Y;35596,5;220
7-C;2025-04-18;526;SVO;DXB;11:25;18:20;20;0,6;12;73H;C;8866,0;12
7-Y;2025-04-18;526;SVO;DXB;11:25;18:20;138;0,6449;89;73H;Y;13273,9;89
8-C;2025-04-18;638;VVO;HKT;10:30;14:50;30;0,1667;5;77W;C;3544,72;5
8-W;2025-04-18;638;VVO;HKT;10:30;14:50;48;0,5208;25;77W;W;7183,64;25
8-Y;2025-04-18;638;VVO;HKT;10:30;14:50;324;0,3519;114;77W;Y;22613,17;114
9-C;2025-04-18;1009;KGD;SVO;03:00;06:30;16;0,5625;9;32B;C;1607,89;9
9-Y;2025-04-18;1009;KGD;SVO;03:00;06:30;167;1,0479;175;32B;Y;7568,33;179
10-C;2025-04-18;1018;SVO;KGD;11:50;13:35;16;0,9375;15;32B;C;3384,13;15
10-W;2025-04-18;1018;SVO;KGD;11:50;13:35;29;0,9655;28;32B;W;2462,35;28
10-Y;2025-04-18;1018;SVO;KGD;11:50;13:35;138;1,0072;139;32B;Y;5445,27;140
11-C;2025-04-18;1054;SVO;MCX;17:10;20:00;8;0,5;4;32A;C;1201,23;4
11-Y;2025-04-18;1054;SVO;MCX;17:10;20:00;150;0,8867;133;32A;Y;7248,44;135
12-C;2025-04-18;1055;MCX;SVO;21:00;00:10;8;0,5;4;32A;C;958,27;4
12-Y;2025-04-18;1055;MCX;SVO;21:00;00:10;150;0,9533;143;32A;Y;7980,48;143
13-C;2025-04-18;1129;AER;SVO;20:10;23:45;8;0,375;3;32A;C;295,52;3
